name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement
2022 Toyota Highlander,2022,Toyota,Highlander,Gray,//cdnblob.fastly.carvana.io/2002299861/post-large/2002299861-edc-02-search.jpg,Toyota,"Used 2022 Toyota Highlander XLE with 28013 miles - $39,695",28013,2002299861,5TDGZRAH8NS544022,"{'@type': 'Offer', 'price': 39695, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2699039'}",
2021 Jeep Wrangler Unlimited,2021,Jeep,Wrangler Unlimited,Gray,//cdnblob.fastly.carvana.io/2002285985/post-large/normalized/zoomcrop/2002285985-edc-02.jpg,Jeep,"Used 2021 Jeep Wrangler Unlimited Willys Sport with 23070 miles - $39,990",23070,2002285985,1C4HJXDG0MW715427,"{'@type': 'Offer', 'price': 39990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2683797'}",
2020 Chevrolet Camaro,2020,Chevrolet,Camaro,Black,//cdnblob.fastly.carvana.io/2002195456/post-large/normalized/zoomcrop/2002195456-edc-02.jpg,Chevrolet,"Used 2020 Chevrolet Camaro LS with 5855 miles - $27,990",5855,2002195456,1G1FA1RX6L0107113,"{'@type': 'Offer', 'price': 27990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2627686'}",
2020 Ford Mustang,2020,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002321674/post-large/normalized/zoomcrop/2002321674-edc-02.jpg,Ford,"Used 2020 Ford Mustang GT Premium with 21226 miles - $40,990",21226,2002321674,1FA6P8CF7L5171541,"{'@type': 'Offer', 'price': 40990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2704119'}",
2022 Toyota Highlander,2022,Toyota,Highlander,Black,//cdnblob.fastly.carvana.io/2002296685/post-large/2002296685-edc-02-search.jpg,Toyota,"Used 2022 Toyota Highlander XLE with 29863 miles - $39,785",29863,2002296685,5TDGZRAH6NS113663,"{'@type': 'Offer', 'price': 39785, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2712234'}",
2022 GMC Terrain,2022,GMC,Terrain,Black,//cdnblob.fastly.carvana.io/2002176614/post-large/normalized/zoomcrop/2002176614-edc-02.jpg,GMC,"Used 2022 GMC Terrain SLE with 21768 miles - $29,590",21768,2002176614,3GKALMEV7NL128693,"{'@type': 'Offer', 'price': 29590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2620416'}",
2019 Lexus RC,2019,Lexus,RC,Red,//cdnblob.fastly.carvana.io/2002254823/post-large/normalized/zoomcrop/2002254823-edc-02.jpg,Lexus,"Used 2019 Lexus RC RC 350 with 4958 miles - $41,590",4958,2002254823,JTHHZ5BC5K5021699,"{'@type': 'Offer', 'price': 41590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2665626'}",
2021 Ford Bronco,2021,Ford,Bronco,Gray,//cdnblob.fastly.carvana.io/2002248371/post-large/normalized/zoomcrop/2002248371-edc-02.jpg,Ford,"Used 2021 Ford Bronco Big Bend with 15995 miles - $44,990",15995,2002248371,1FMDE5BH7MLA72378,"{'@type': 'Offer', 'price': 44990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2659036'}",
2021 Toyota Highlander Hybrid,2021,Toyota,Highlander Hybrid,Gray,//cdnblob.fastly.carvana.io/2002237690/post-large/normalized/zoomcrop/2002237690-edc-02.jpg,Toyota,"Used 2021 Toyota Highlander Hybrid XLE with 29545 miles - $44,990",29545,2002237690,5TDHARAH1MS504651,"{'@type': 'Offer', 'price': 44990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2651564'}",
2022 Toyota Highlander,2022,Toyota,Highlander,Gray,//cdnblob.fastly.carvana.io/2002336499/post-large/2002336499-edc-02-search.jpg,Toyota,"Used 2022 Toyota Highlander XLE with 15333 miles - $41,750",15333,2002336499,5TDGZRAH2NS548910,"{'@type': 'Offer', 'price': 41750, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2717254'}",
